Data;Taxa de desocupação - mensalizada - (%) - Instituto de Pesquisa Econômica Aplicada - PNADC12_TDESOCM12;
2012.01;8,39999961853027;
2012.02;7,90000009536743;
2012.03;7,69999980926514;
2012.04;7,8;
2012.05;7,5;
2012.06;7,4;
2012.07;7,6;
2012.08;7,1;
2012.09;6,7;
2012.10;7;
2012.11;6,7;
2012.12;7;
2013.01;8,1;
2013.02;8,2;
2013.03;7,8;
2013.04;7,7;
2013.05;7,4;
2013.06;7,4;
2013.07;7,3;
2013.08;6,9;
2013.09;6,9;
2013.10;6,6;
2013.11;6,2;
2013.12;5,9;
2014.01;7,2;
2014.02;7,3;
2014.03;7,2;
2014.04;7,1;
2014.05;6,8;
2014.06;6,8;
2014.07;7,3;
2014.08;6,7;
2014.09;6,5;
2014.10;6,8;
2014.11;6,4;
2014.12;6,5;
2015.01;7,8;
2015.02;8,3;
2015.03;8;
2015.04;8;
2015.05;8,7;
2015.06;8,6;
2015.07;8,7;
2015.08;9,2;
2015.09;9,1;
2015.10;9;
2015.11;9,3;
2015.12;8,9;
2016.01;10,6;
2016.02;11,5;
2016.03;11;
2016.04;11,4;
2016.05;11,5;
2016.06;11,4;
2016.07;12,2;
2016.08;12;
2016.09;11,5;
2016.10;12,2;
2016.11;12,2;
2016.12;12;
2017.01;13,8;
2017.02;14;
2017.03;13,8;
2017.04;13,4;
2017.05;13,1;
2017.06;12,8;
2017.07;12,8;
2017.08;12,4;
2017.09;12,4;
2017.10;12,1;
2017.11;11,9;
2017.12;11,6;
2018.01;13,3;
2018.02;13,2;
2018.03;13,2;
2018.04;12,5;
2018.05;12,7;
2018.06;12,5;
2018.07;12,1;
2018.08;12,1;
2018.09;11,7;
2018.10;11,7;
2018.11;11,7;
2018.12;11,8;
2019.01;13;
2019.02;12,8;
2019.03;12,7;
2019.04;12,3;
2019.05;12,2;
2019.06;11,9;
2019.07;11,8;
2019.08;12,2;
2019.09;11,7;
2019.10;11,3;
2019.11;10,8;
2019.12;11,1;
2020.01;12,1;
2020.02;12;
2020.03;13;
2020.04;13,3;
2020.05;13;
2020.06;14,5;
2020.07;14,8;
2020.08;15;
2020.09;14,8;
2020.10;13,9;
2020.11;14,3;
2020.12;14,2;
2021.01;14,8;
2021.02;14,8;
2021.03;15,2;
2021.04;14,4;
2021.05;14,6;
2021.06;13,7;
2021.07;12,9;
2021.08;12,9;
2021.09;12,2;
2021.10;11,2;
2021.11;11,3;
2021.12;11;
2022.01;11,3;
2022.02;11,3;
2022.03;10,8;
2022.04;9,5;
2022.05;9,2;
2022.06;9,2;
2022.07;8,9;
2022.08;8,6;
2022.09;8,5;
2022.10;7,7;
2022.11;7,9;
2022.12;8,2;
2023.01;8,9;
2023.02;8,6;
2023.03;8,8;
2023.04;8;
2023.05;8,2;
2023.06;7,9;
2023.07;7,6;
2023.08;7,8;
2023.09;7,6;
2023.10;7,4;
2023.11;7,6;
2023.12;7,2;
2024.01;8;
2024.02;8,3;
2024.03;7,4;
2024.04;6,8;
2024.05;7,1;
2024.06;6,7;
2024.07;6,5;
2024.08;6,6;
2024.09;5,9;
2024.10;6;
2024.11;6,4;
2024.12;6,1;
2025.01;7,1;
2025.02;7,1;
2025.03;6,7;
2025.04;5,8;
2025.05;5,9;
2025.06;5,5;
2025.07;5,5;
2025.08;5,8;
2025.09;5,4;
2025.10;5,1;
2025.11;5,1;
2025.12;5,1;
2026.01;6,1;
2026.02;6,2;
2026.03;6;
