Data,Taxa_Desemprego_Dessazonalizada,Taxa_Desemprego_Mensal,Taxa_Desemprego_Oficial,Taxa_Subocupacao,Data_Datetime,Ano,Mes,Inadimplencia_PJ,Confianca_Empresarial,Inadimplencia_PJ_Lag1,Inadimplencia_PJ_Lag2,Inadimplencia_PJ_Lag3,Confianca_Empresarial_Lag1,Confianca_Empresarial_Lag2
2012.06,7.3,7.4,7.6,14.1,2012-06-01,2012,6,3.63,56.0,3.74,3.71,3.64,57.9,57.3
2012.07,7.4,7.6,7.5,13.7,2012-07-01,2012,7,3.67,53.3,3.63,3.74,3.71,56.0,57.9
2012.08,7.3,7.1,7.3,13.2,2012-08-01,2012,8,3.78,54.4,3.67,3.63,3.74,53.3,56.0
2012.09,7.1,6.7,7.1,12.7,2012-09-01,2012,9,3.71,57.6,3.78,3.67,3.63,54.4,53.3
2012.11,7.4,6.7,6.8,12.3,2012-11-01,2012,11,3.76,58.4,3.71,3.78,3.67,57.6,54.4
2012.12,7.8,7.0,6.9,12.3,2012-12-01,2012,12,3.7,57.5,3.76,3.71,3.78,58.4,57.6
2013.01,7.5,8.1,7.2,12.6,2013-01-01,2013,1,3.75,56.8,3.7,3.76,3.71,57.5,58.4
2013.02,7.5,8.2,7.8,13.0,2013-02-01,2013,2,3.76,58.1,3.75,3.7,3.76,56.8,57.5
2013.03,7.4,7.8,8.0,13.4,2013-03-01,2013,3,3.64,57.1,3.76,3.75,3.7,58.1,56.8
2013.04,7.4,7.7,7.9,13.3,2013-04-01,2013,4,3.7,55.4,3.64,3.76,3.75,57.1,58.1
2013.05,7.3,7.4,7.6,13.0,2013-05-01,2013,5,3.73,55.5,3.7,3.64,3.76,55.4,57.1
2013.06,7.3,7.4,7.5,12.7,2013-06-01,2013,6,3.45,54.8,3.73,3.7,3.64,55.5,55.4
2013.07,7.1,7.3,7.4,12.5,2013-07-01,2013,7,3.49,50.0,3.45,3.73,3.7,54.8,55.5
2013.08,7.1,6.9,7.2,12.2,2013-08-01,2013,8,3.42,52.5,3.49,3.45,3.73,50.0,54.8
2013.09,7.3,6.9,7.0,11.9,2013-09-01,2013,9,3.38,54.2,3.42,3.49,3.45,52.5,50.0
2013.11,6.9,6.2,6.5,11.4,2013-11-01,2013,11,3.27,54.4,3.38,3.42,3.49,54.2,52.5
2013.12,6.5,5.9,6.2,11.1,2013-12-01,2013,12,3.11,54.4,3.27,3.38,3.42,54.4,54.2
2014.01,6.7,7.2,6.5,11.2,2014-01-01,2014,1,3.14,53.1,3.11,3.27,3.38,54.4,54.4
2014.02,6.7,7.3,6.8,11.5,2014-02-01,2014,2,3.2,52.3,3.14,3.11,3.27,53.1,54.4
2014.03,6.8,7.2,7.2,11.8,2014-03-01,2014,3,3.2,52.4,3.2,3.14,3.11,52.3,53.1
2014.04,6.8,7.1,7.2,11.8,2014-04-01,2014,4,3.25,49.2,3.2,3.2,3.14,52.4,52.3
2014.05,6.7,6.8,7.0,11.6,2014-05-01,2014,5,3.41,47.9,3.25,3.2,3.2,49.2,52.4
2014.06,6.7,6.8,6.9,11.4,2014-06-01,2014,6,3.32,47.4,3.41,3.25,3.2,47.9,49.2
2014.07,7.1,7.3,7.0,11.3,2014-07-01,2014,7,3.42,46.4,3.32,3.41,3.25,47.4,47.9
2014.08,6.9,6.7,7.0,11.3,2014-08-01,2014,8,3.5,46.5,3.42,3.32,3.41,46.4,47.4
2014.09,6.9,6.5,6.8,11.3,2014-09-01,2014,9,3.49,46.5,3.5,3.42,3.32,46.5,46.4
2014.11,7.1,6.4,6.6,11.3,2014-11-01,2014,11,3.45,44.7,3.49,3.5,3.42,46.5,46.5
2014.12,7.2,6.5,6.6,11.3,2014-12-01,2014,12,3.33,45.1,3.45,3.49,3.5,44.7,46.5
