Data,Taxa_Desemprego_Dessazonalizada,Taxa_Desemprego_Mensal,Taxa_Desemprego_Oficial,Taxa_Subocupacao,Data_Datetime,Ano,Mes
2012.03,7.30000019073486,7.69999980926514,8.0,15.3,2012-03-01,2012,3
2012.04,7.5,7.8,7.8,14.7,2012-04-01,2012,4
2012.05,7.4,7.5,7.7,14.4,2012-05-01,2012,5
2012.06,7.3,7.4,7.6,14.1,2012-06-01,2012,6
2012.07,7.4,7.6,7.5,13.7,2012-07-01,2012,7
2012.08,7.3,7.1,7.3,13.2,2012-08-01,2012,8
2012.09,7.1,6.7,7.1,12.7,2012-09-01,2012,9
2012.10,7.3,7.0,6.9,12.5,2012-10-01,2012,10
2012.11,7.4,6.7,6.8,12.3,2012-11-01,2012,11
2012.12,7.8,7.0,6.9,12.3,2012-12-01,2012,12
2013.01,7.5,8.1,7.2,12.6,2013-01-01,2013,1
2013.02,7.5,8.2,7.8,13.0,2013-02-01,2013,2
2013.03,7.4,7.8,8.0,13.4,2013-03-01,2013,3
2013.04,7.4,7.7,7.9,13.3,2013-04-01,2013,4
2013.05,7.3,7.4,7.6,13.0,2013-05-01,2013,5
2013.06,7.3,7.4,7.5,12.7,2013-06-01,2013,6
2013.07,7.1,7.3,7.4,12.5,2013-07-01,2013,7
2013.08,7.1,6.9,7.2,12.2,2013-08-01,2013,8
2013.09,7.3,6.9,7.0,11.9,2013-09-01,2013,9
2013.10,6.9,6.6,6.8,11.7,2013-10-01,2013,10
2013.11,6.9,6.2,6.5,11.4,2013-11-01,2013,11
2013.12,6.5,5.9,6.2,11.1,2013-12-01,2013,12
2014.01,6.7,7.2,6.5,11.2,2014-01-01,2014,1
2014.02,6.7,7.3,6.8,11.5,2014-02-01,2014,2
2014.03,6.8,7.2,7.2,11.8,2014-03-01,2014,3
2014.04,6.8,7.1,7.2,11.8,2014-04-01,2014,4
2014.05,6.7,6.8,7.0,11.6,2014-05-01,2014,5
2014.06,6.7,6.8,6.9,11.4,2014-06-01,2014,6
2014.07,7.1,7.3,7.0,11.3,2014-07-01,2014,7
2014.08,6.9,6.7,7.0,11.3,2014-08-01,2014,8
2014.09,6.9,6.5,6.8,11.3,2014-09-01,2014,9
2014.10,7.1,6.8,6.7,11.3,2014-10-01,2014,10
2014.11,7.1,6.4,6.6,11.3,2014-11-01,2014,11
2014.12,7.2,6.5,6.6,11.3,2014-12-01,2014,12
2015.01,7.3,7.8,6.9,11.6,2015-01-01,2015,1
2015.02,7.6,8.3,7.5,12.3,2015-02-01,2015,2
2015.03,7.6,8.0,8.0,12.8,2015-03-01,2015,3
2015.04,7.7,8.0,8.1,13.0,2015-04-01,2015,4
2015.05,8.6,8.7,8.2,13.2,2015-05-01,2015,5
2015.06,8.5,8.6,8.4,13.6,2015-06-01,2015,6
2015.07,8.4,8.7,8.6,14.0,2015-07-01,2015,7
2015.08,9.4,9.2,8.8,14.2,2015-08-01,2015,8
2015.09,9.6,9.1,9.0,14.5,2015-09-01,2015,9
2015.12,9.6,8.9,9.1,13.1,2015-12-01,2015,12
2016.01,10.0,10.6,9.6,13.6,2016-01-01,2016,1
2016.02,10.9,11.5,10.3,14.3,2016-02-01,2016,2
2016.03,10.5,11.0,11.0,15.2,2016-03-01,2016,3
2016.04,11.1,11.4,11.3,15.6,2016-04-01,2016,4
2016.05,11.3,11.5,11.3,15.9,2016-05-01,2016,5
2016.06,11.4,11.4,11.4,16.1,2016-06-01,2016,6
2016.07,12.3,12.2,11.7,16.4,2016-07-01,2016,7
2016.08,12.2,12.0,11.9,16.5,2016-08-01,2016,8
2016.09,11.8,11.5,11.9,16.6,2016-09-01,2016,9
2016.10,12.7,12.2,11.9,16.7,2016-10-01,2016,10
2016.11,12.8,12.2,12.0,17.0,2016-11-01,2016,11
2016.12,12.9,12.0,12.1,17.3,2016-12-01,2016,12
2017.01,13.1,13.8,12.7,17.8,2017-01-01,2017,1
2017.02,13.3,14.0,13.3,18.4,2017-02-01,2017,2
2017.03,13.2,13.8,13.9,18.9,2017-03-01,2017,3
2017.04,13.1,13.4,13.7,18.9,2017-04-01,2017,4
2017.05,12.9,13.1,13.4,18.9,2017-05-01,2017,5
2017.06,12.8,12.8,13.1,18.7,2017-06-01,2017,6
2017.07,12.9,12.8,12.9,18.6,2017-07-01,2017,7
2017.08,12.5,12.4,12.7,18.5,2017-08-01,2017,8
2017.09,12.7,12.4,12.5,18.5,2017-09-01,2017,9
2017.10,12.6,12.1,12.3,18.3,2017-10-01,2017,10
2017.11,12.5,11.9,12.1,18.3,2017-11-01,2017,11
2017.12,12.4,11.6,11.9,18.1,2017-12-01,2017,12
2018.01,12.7,13.3,12.3,18.3,2018-01-01,2018,1
2018.02,12.6,13.2,12.7,18.6,2018-02-01,2018,2
2018.03,12.6,13.2,13.2,19.1,2018-03-01,2018,3
2018.04,12.3,12.5,13.0,19.0,2018-04-01,2018,4
2018.05,12.4,12.7,12.8,18.9,2018-05-01,2018,5
2018.06,12.5,12.5,12.6,18.8,2018-06-01,2018,6
2018.07,12.2,12.1,12.4,18.7,2018-07-01,2018,7
2018.08,12.2,12.1,12.2,18.6,2018-08-01,2018,8
2018.09,11.9,11.7,12.0,18.5,2018-09-01,2018,9
2018.10,12.3,11.7,11.8,18.5,2018-10-01,2018,10
2018.11,12.3,11.7,11.7,18.3,2018-11-01,2018,11
2018.12,12.5,11.8,11.7,18.2,2018-12-01,2018,12
2019.01,12.5,13.0,12.2,18.6,2019-01-01,2019,1
2019.02,12.2,12.8,12.5,18.9,2019-02-01,2019,2
2019.03,12.1,12.7,12.8,19.3,2019-03-01,2019,3
2019.04,12.1,12.3,12.6,19.2,2019-04-01,2019,4
2019.05,11.9,12.2,12.4,19.2,2019-05-01,2019,5
2019.06,11.8,11.9,12.1,19.0,2019-06-01,2019,6
2019.07,11.9,11.8,11.9,18.8,2019-07-01,2019,7
2019.08,12.2,12.2,11.9,18.7,2019-08-01,2019,8
2019.09,11.9,11.7,11.9,18.5,2019-09-01,2019,9
2019.10,11.9,11.3,11.7,18.3,2019-10-01,2019,10
2019.11,11.3,10.8,11.3,17.8,2019-11-01,2019,11
2019.12,11.7,11.1,11.1,17.5,2019-12-01,2019,12
2020.01,11.6,12.1,11.3,17.6,2020-01-01,2020,1
2020.02,11.5,12.0,11.7,17.9,2020-02-01,2020,2
2020.03,12.4,13.0,12.4,18.5,2020-03-01,2020,3
2020.04,13.2,13.3,12.7,18.7,2020-04-01,2020,4
2020.05,12.7,13.0,13.1,19.0,2020-05-01,2020,5
2020.06,14.4,14.5,13.6,19.4,2020-06-01,2020,6
2020.07,14.9,14.8,14.1,20.1,2020-07-01,2020,7
2020.08,15.0,15.0,14.8,21.0,2020-08-01,2020,8
2020.09,15.1,14.8,14.9,21.3,2020-09-01,2020,9
2020.10,14.8,13.9,14.6,21.1,2020-10-01,2020,10
2020.11,15.0,14.3,14.3,21.1,2020-11-01,2020,11
2020.12,14.8,14.2,14.2,20.9,2020-12-01,2020,12
2021.01,14.2,14.8,14.4,21.2,2021-01-01,2021,1
2021.02,14.1,14.8,14.6,21.4,2021-02-01,2021,2
2021.03,14.4,15.2,14.9,21.8,2021-03-01,2021,3
2021.04,14.4,14.4,14.8,21.9,2021-04-01,2021,4
2021.05,14.3,14.6,14.7,21.9,2021-05-01,2021,5
2021.06,13.6,13.7,14.2,21.6,2021-06-01,2021,6
2021.07,13.1,12.9,13.7,21.2,2021-07-01,2021,7
2021.08,12.9,12.9,13.2,20.5,2021-08-01,2021,8
